ticket_id,title,description,category,priority,resolution_steps,resolved_date
OPM-0175,VPN connection drops for HR user,User in HR reports VPN disconnects every few minutes on Windows 10. Error shown: gateway timeout. Home ISP is BSNL.,Network,P1,"1. Confirm VPN client version and update if below baseline.
2. Switch VPN protocol from UDP to TCP in client settings.
3. Whitelist VPN executable in local firewall/antivirus.
4. If drops persist, capture client logs and escalate to Network L2.",2024-05-23
OPM-0176,MFA token not received,User a.sharma does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P3,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-10-06
OPM-0177,Printer AST-5521 not printing,Shared printer AST-5521 on floor 6 shows jobs queued but nothing prints; panel displays no error.,Hardware,P3,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-03-25
OPM-0178,SAP GUI crashes on startup,"After the latest update, SAP GUI crashes immediately on launch for user in Engineering on Windows 10. Event viewer shows faulting module.",Software,P2,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-04-14
OPM-0179,Nightly job failed on FINDB database,The ETL batch job on FINDB failed at step LOAD with deadlock error. Downstream Tableau reports are stale this morning.,Database,P3,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Tableau report freshness with data team.",2024-11-28
OPM-0180,Phishing email reported by Sales,User p.iyer reports suspicious email asking to update payroll details via external link. Several colleagues received it too.,Security,P3,"1. Quarantine the message org-wide via mail security console.
2. Block sender domain and the embedded URL at the gateway.
3. Check click-through logs; force password reset for clickers.
4. Send user advisory and log the incident with SecOps.",2024-10-02
OPM-0181,Cannot reach internal portal Expensify,"Multiple users report Expensify unreachable from office LAN, browser shows DNS_PROBE_FINISHED_NXDOMAIN. Wi-Fi segment VLAN-31.",Network,P3,"1. Verify DNS resolution with nslookup against corporate DNS.
2. Flush client DNS cache (ipconfig /flushdns).
3. Check VLAN VLAN-31 DNS forwarder configuration.
4. Raise change request to correct forwarder entry if wrong.",2024-09-09
OPM-0182,MFA token not received,User a.sharma does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P3,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-12-08
OPM-0183,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model HP EliteBook.,Hardware,P4,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2025-05-17
OPM-0184,Confluence crashes on startup,"After the latest update, Confluence crashes immediately on launch for user in Sales on Ubuntu 22.04. Event viewer shows faulting module.",Software,P3,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-08-02
OPM-0185,Slow queries on HRMSDB since morning,Application team reports CRM timeouts; DB HRMSDB CPU at high utilisation. A deployment happened last night.,Database,P1,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2025-01-21
OPM-0186,Endpoint flagged with malware on Ubuntu 22.04,AV console flags trojan on Procurement user's machine PRN-104; device auto-isolated from network.,Security,P2,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2024-12-29
OPM-0187,Slow network in Delhi office,Users at Delhi site report very slow file transfers and video calls dropping since morning. Approx 40 users affected.,Network,P3,"1. Check WAN link utilisation on the Delhi edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2025-01-18
OPM-0188,Access request for Timesheet denied,User r.gupta from Legal cannot open Timesheet; gets 403 Forbidden although manager approved access last week.,Access,P3,"1. Check user's AD group membership against Timesheet access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2024-11-15
OPM-0189,Printer PRN-104 not printing,Shared printer PRN-104 on floor 6 shows jobs queued but nothing prints; panel displays no error.,Hardware,P1,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-04-27
OPM-0190,License activation failure for CRM,User receives 'license server unreachable' when starting CRM. Approx 12 users in Legal affected simultaneously.,Software,P2,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2025-02-18
OPM-0191,Nightly job failed on CRMDB database,The ETL batch job on CRMDB failed at step LOAD with deadlock error. Downstream Timesheet reports are stale this morning.,Database,P2,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Timesheet report freshness with data team.",2024-08-07
OPM-0192,Endpoint flagged with malware on Windows 11,AV console flags trojan on Legal user's machine PRN-104; device auto-isolated from network.,Security,P3,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2025-06-24
OPM-0193,Slow network in Pune office,Users at Pune site report very slow file transfers and video calls dropping since morning. Approx 12 users affected.,Network,P1,"1. Check WAN link utilisation on the Pune edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-11-16
OPM-0194,Account locked after failed logins,User v.rao locked out of AD account after multiple failed password attempts on Windows 11. Needs urgent access for Sales work.,Access,P3,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2024-07-09
OPM-0195,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model HP EliteBook.,Hardware,P2,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2025-05-11
OPM-0196,CRM crashes on startup,"After the latest update, CRM crashes immediately on launch for user in Engineering on Ubuntu 22.04. Event viewer shows faulting module.",Software,P3,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-08-13
OPM-0197,Nightly job failed on ORDERSDB database,The ETL batch job on ORDERSDB failed at step LOAD with deadlock error. Downstream Expensify reports are stale this morning.,Database,P4,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Expensify report freshness with data team.",2025-01-10
OPM-0198,Phishing email reported by Legal,User r.gupta reports suspicious email asking to update payroll details via external link. Several colleagues received it too.,Security,P1,"1. Quarantine the message org-wide via mail security console.
2. Block sender domain and the embedded URL at the gateway.
3. Check click-through logs; force password reset for clickers.
4. Send user advisory and log the incident with SecOps.",2025-03-25
OPM-0199,VPN connection drops for HR user,User in HR reports VPN disconnects every few minutes on macOS 14. Error shown: gateway timeout. Home ISP is BSNL.,Network,P3,"1. Confirm VPN client version and update if below baseline.
2. Switch VPN protocol from UDP to TCP in client settings.
3. Whitelist VPN executable in local firewall/antivirus.
4. If drops persist, capture client logs and escalate to Network L2.",2024-11-27
OPM-0200,Access request for Expensify denied,User r.gupta from Procurement cannot open Expensify; gets 403 Forbidden although manager approved access last week.,Access,P2,"1. Check user's AD group membership against Expensify access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2024-11-25
